ID	EGDe_030510[Tiling]	EGDe_Stat[Tiling]
lmo0157	-0.130594674	-0.489222676
lmo0158	1.281725765	1.212134667
lmo0159	-2.420571177	-2.061019051
lmo0160	-1.590918826	-1.631641243
lmo0161	4.481277481	3.7924163
lmo0162	4.986227273	3.986035347
lmo0163	4.836063877	3.562909085
lmo0164	3.968331809	2.628555655
lmo0165	1.396758463	-0.41780423
lmo0166	1.200802304	-0.001443229
lmo0167	2.350562352	1.279944453
lmo0168	0.519715454	-0.117573719
lmo0169	1.167904425	1.499091729
lmo0170	2.804109288	3.479129181
lmo0171	-0.926032918	-1.476924273
lmo0172	-0.848712519	-1.230212776
lmo0173	-0.907428129	-1.317310322
lmo0174	-1.955141291	-2.187182566
lmo0175	-2.85506044	-2.798005503
lmo0176	2.113129088	-0.191867721
lmo0177	4.325286529	2.11944168
lmo0178	-1.775571534	-0.219403069
lmo0179	-1.425681528	0.103548608
lmo0180	-2.193289723	-1.500961529
lmo0181	-1.810630704	-0.732832829
lmo0182	-2.067289064	-1.538258581
lmo0183	-1.765837083	-1.02177109
lmo0184	-1.093083539	-0.82062773
lmo0185	1.382459322	0.895743136
lmo0186	2.1005366	-0.665386035
lmo0187	0.414084991	-0.261960281
lmo01876	4.520043641	5.716567161
lmo0188	1.591831504	-0.031304694
lmo0189	6.665421129	6.890416389
lmo0190	4.121621646	2.304859406
lmo0191	5.179978143	4.115340799
lmo0192	2.641930038	3.142571592
lmo0193	-0.524144819	-1.963337759
lmo0194	0.374696465	-0.681508482
lmo0195	1.911007	0.62626215
lmo0196	7.339343299	6.981070243
lmo0197	6.46187419	5.771911783
lmo0198	2.728161839	1.804961349
lmo0199	5.004086649	2.977364897
lmo0200	0.211899795	0.634617709
lmo0201	1.183207944	0.989390795
lmo0202	1.400315511	1.087148343
lmo0203	-1.347721581	-0.904739344
lmo0204	-0.652251389	-0.702893138
lmo0205	-0.588915172	-0.831225656
lmo0206	-2.262515963	-2.135254897
lmo0207	-1.795080213	-1.872939819
lmo0208	5.046148698	6.072525159
lmo0209	1.608077584	1.819012745
lmo0210	6.561523943	7.069574254
lmo0211	5.637181859	8.002774066
lmo0212	1.475167367	1.376120988
lmo0213	3.872349938	2.485977538
lmo0214	1.427061812	0.582119559
lmo0215	2.706391257	2.679011118
lmo0216	3.859176189	4.183944875
lmo0217	1.950634511	2.057567963
lmo0218	4.643679903	3.878244796
lmo0219	1.580620381	0.114516864
lmo0220	5.432541819	4.251708362
lmo0221	2.557103848	1.5021876
lmo0222	2.653245564	1.952600799
lmo0223	5.363946609	5.680495159
lmo0224	1.499544847	0.795372989
lmo0225	0.86436795	0.761168633
lmo0226	0.888676689	-0.102424118
lmo0227	4.776345643	2.909666497
lmo0228	5.809019477	3.324997981
lmo0229	-1.385160894	0.281381392
lmo0230	-1.112252188	0.342326353
lmo0231	-0.232230894	1.482758885
lmo0232	1.107354489	2.700492549
lmo0233	1.815372539	1.731766216
lmo02333	-2.206896044	-2.676210617
lmo0234	1.673325962	1.385500398
lmo0235	2.484456983	2.429173715
lmo0236	3.672629996	3.081748014
lmo0237	4.470601623	4.348127588
lmo0238	4.033203116	3.38482366
lmo0239	3.561928817	2.717456852
lmo0240	2.296473404	1.601475029
lmo0241	2.247168498	1.659891596
lmo0242	2.002862303	1.474883625
lmo0243	2.319467508	1.455038701
lmo0244	5.947225336	4.460940246
lmo0245	5.424411031	3.842723323
lmo0246	3.408523219	0.473029329
lmo0247	-1.384420826	-1.853238857
lmo0248	7.09956229	4.988959412
lmo0249	7.177418374	5.046752648
lmo0250	7.561378347	7.219440858
lmo0251	7.156806008	6.507615327
lmo0252	0.707305453	1.731293669
lmo0253	0.407728099	-1.198974178
lmo0254	-2.347192454	-2.058931875
lmo0255	-2.707933776	-1.754948367
lmo0256	2.05543178	0.35504152
lmo0257	0.796999483	0.491608255
lmo0258	4.989926398	3.099091744
lmo0259	4.686820987	3.565778156
lmo0260	1.03042665	2.705963349
lmo0261	2.733854696	5.183684657
lmo0262	-2.092333302	-1.634766835
lmo0263	1.647304087	3.716015359
lmo0264	-2.46351081	-1.900932208
lmo0265	-0.957160274	1.239249703
lmo0266	-0.283230918	1.319443173
lmo0267	0.305284695	1.692622599
lmo0268	3.674909696	2.344986817
lmo0269	2.060208655	0.49240373
lmo0270	2.282830399	2.643778015
lmo0271	3.179254673	3.694820633
lmo0272	2.604484885	-0.293293289
lmo0273	5.412979805	3.974451112
lmo0274	0.45407027	1.785742983
lmo0275	1.933888396	2.262630036
lmo0276	1.608068043	2.734948848
lmo0277	3.435714369	1.330440261
lmo0278	0.026361218	2.825450406
lmo0279	3.105684761	1.914018518
lmo0280	4.17999794	2.494698403
lmo0281	2.824408705	2.640748761
lmo0282	3.439373085	1.758168817
lmo0283	3.068588436	0.422441405
lmo0284	2.254337369	0.108249021
lmo0285	0.712458134	-1.692907412
lmo0286	1.500691039	-0.481385427
lmo0287	5.591433933	5.210544292
lmo0288	2.448864247	1.63712349
lmo0289	0.59688421	0.048061421
lmo0290	1.648264534	1.551822505
lmo0291	0.802024639	2.333146295
lmo0292	1.346259021	2.860902555
lmo0293	1.965424429	2.204419765
lmo0294	-1.023959189	-1.433928225
lmo0295	-1.754915064	-1.436296226
lmo0296	3.010881602	3.443041114
lmo0297	-1.862765011	-0.794834035
lmo0298	-2.514915822	1.01040044
lmo0299	-2.668391815	0.575590948
lmo0300	-2.331536472	0.692765317
lmo0301	-1.701099029	0.099599683
lmo0302	-0.570314255	-0.10892926
lmo0303	0.008987038	0.211926802
lmo0304	-1.279407267	-0.820777999
lmo0305	2.758922343	3.430905361
lmo0306	-1.793763484	-1.739032547
lmo0307	-2.60130676	-2.131507378
lmo0308	-2.889386002	-2.208662778
lmo0309	-2.829294633	-1.883508336
lmo0310	-2.934982145	-1.604248841
lmo0311	-2.571746127	-2.037941146
lmo0312	-2.330097675	-1.961623643
lmo0313	-1.648886355	-1.28377206
lmo0314	1.437523916	1.24241768
lmo0315	1.103160592	0.407985463
lmo0316	1.260091953	0.989728736
lmo0317	1.697664947	1.91265437
lmo0318	1.485769081	1.535247046
lmo0319	3.835050454	6.496531864
lmo0320	-2.257341579	-2.041486831
lmo0321	2.252506537	1.752549795
lmo0322	-0.084064695	-1.597470043
lmo0323	-0.474063882	3.1218079
lmo0324	-1.273847149	-0.767571482
lmo0325	-1.438485384	-0.947080148
lmo0326	-1.950546141	-1.020863684
lmo0327	-1.750799009	-2.059445424
lmo0328	-2.558775325	-1.57292897
lmo0329	-1.802448388	-1.2103079
lmo0330	-0.956211181	-1.653337337
lmo0331	-2.004077225	-2.232111125
lmo0332	1.945447699	1.620684068
lmo0333	-1.982953112	-1.900003426
lmo0334	-2.436724679	-1.72341037
lmo0335	-2.422332859	-2.094419601
lmo0336	-2.328872872	-1.391863189
lmo0337	-1.485206143	-1.159294132
lmo0338	-1.998797318	-1.909912544
lmo0339	0.057201616	1.555785466
lmo0340	1.073689976	2.72589624
lmo0341	2.844909697	3.492342387
lmo0342	0.078179397	1.656242685
lmo0343	-1.470712829	0.545882895
lmo0344	-1.969830947	-0.385354776
lmo0345	-2.528824406	-0.181203038
lmo0346	-2.298220226	-0.111821696
lmo0347	-1.707637391	0.720658429
lmo0348	-1.723964757	0.668409724
lmo0349	-1.917480047	-0.173223836
lmo0350	-2.555455413	-0.67391085
lmo0351	-2.199527232	0.06456859
lmo0352	0.165370749	2.46577526
lmo0353	0.662196806	1.505773832
lmo0354	6.040282851	5.151480924
lmo0355	3.893140747	4.39123043
lmo0356	4.015451845	3.88250435
lmo0357	-2.274872685	-1.267561461
lmo0358	-1.664610286	-0.533031043
lmo0359	0.690656257	1.526216859
lmo0360	-0.004588796	-0.338134505
lmo0361	0.064280857	0.429677951
lmo0362	0.523589128	0.844791699
lmo0363	-0.283331592	1.010165428
lmo0364	-1.442095919	-1.655558705
lmo0365	-1.655272871	-0.882381823
lmo0366	-1.935190355	-1.411198259
lmo0367	-0.112600013	-0.162392495
lmo0368	0.528573338	1.083749665
lmo0369	3.526929874	2.95333208
lmo0370	3.272464284	2.97026301
lmo0371	1.352366112	1.431549791
lmo0372	-1.943079584	-1.681514044
lmo0373	-0.774057691	-0.17714655
lmo0374	-0.22884879	0.64998487
lmo0375	2.78459868	4.765000647
lmo0376	2.64379645	3.350169796
lmo0377	3.20556087	5.364994685
lmo0378	-2.486744755	-0.983725243
lmo0379	-2.231357285	-1.148018104
lmo0380	-2.762029476	-2.100713238
lmo0381	-1.641371304	-1.761576278
lmo0382	0.809484247	0.334878217
lmo0383	-1.672825893	0.280591133
lmo0384	-2.02897027	0.374304984
lmo0385	-1.52924491	1.033433913
lmo0386	-0.923202809	2.487985153
lmo0387	4.505519696	4.539086707
lmo0388	4.994013883	4.795834941
lmo0389	0.777025601	1.510875679
lmo0390	0.711441977	0.935817191
lmo0391	2.501384376	3.880125831
lmo0392	2.302975446	3.499104152
lmo0393	1.296626587	2.21499397
lmo0394	1.267477094	0.40637514
lmo0395	0.578309449	0.792618715
lmo0396	2.092167311	2.713274959
lmo0397	3.120094008	3.613071319
lmo0398	0.154700437	6.682106112
lmo0399	-0.084389897	6.75500453
lmo0400	-1.509877491	5.922329873
lmo0401	-1.301865443	5.573919604
lmo0402	-0.264512438	4.380512403
lmo0403	3.287045314	2.657908163
lmo0404	4.192608605	3.470143739
